2026-03-29T15:05:27+00:00
Running build/linux/arm64/release/bench_fix_parse
Run on (16 X 2000 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x16)
  L1 Instruction 64 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 0.31, 0.50, 0.58
------------------------------------------------------------------------------------
Benchmark                          Time             CPU   Iterations UserCounters...
------------------------------------------------------------------------------------
BM_FixParseNewOrder              224 ns          224 ns      3129050 bytes_per_second=566.887Mi/s items_per_second=4.46936M/s
BM_FixParseMarketData            368 ns          368 ns      1899949 bytes_per_second=613.492Mi/s items_per_second=2.71432M/s
BM_FixParseFieldCount/0          223 ns          223 ns      3132909 bytes_per_second=568.356Mi/s items_per_second=4.48093M/s
BM_FixParseFieldCount/10         348 ns          348 ns      2012878 bytes_per_second=606.036Mi/s items_per_second=2.87545M/s
BM_FixParseFieldCount/50         921 ns          921 ns       760678 bytes_per_second=643.341Mi/s items_per_second=1.0863M/s
BM_FixParseFieldCount/100       1616 ns         1616 ns       433200 bytes_per_second=662.013Mi/s items_per_second=618.691k/s
BM_FixFieldLookup               21.9 ns         21.9 ns     31904169 items_per_second=45.5796M/s
BM_FixBuildNewOrder              163 ns          163 ns      4296442 items_per_second=6.1367M/s
BM_FixBuildWithTimestamp         151 ns          151 ns      4637108 items_per_second=6.62382M/s
BM_FixBuildMarketData            260 ns          260 ns      2688928 items_per_second=3.84012M/s
BM_FixBuildResetReuse           50.1 ns         50.1 ns     13964885 items_per_second=19.9422M/s
BM_FixFramerDecode              22.5 ns         22.5 ns     31090708 bytes_per_second=5.50144Gi/s items_per_second=44.4145M/s
BM_FixChecksum                  16.8 ns         16.8 ns     41769834 bytes_per_second=7.39108Gi/s
BM_FixBuildParseRoundtrip        219 ns          219 ns      3201167 items_per_second=4.57443M/s
