2026-03-29T15:40:06+00:00
Running build/linux/arm64/release/bench_tcp_header
Run on (16 X 2000 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x16)
  L1 Instruction 64 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 1.38, 1.05, 1.06
---------------------------------------------------------------------------------
Benchmark                       Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------
BM_Checksum/64               2.61 ns         2.61 ns    268306590 bytes_per_second=22.8464Gi/s
BM_Checksum/128              4.05 ns         4.05 ns    172899585 bytes_per_second=29.4415Gi/s
BM_Checksum/256              6.94 ns         6.94 ns    100834367 bytes_per_second=34.3684Gi/s
BM_Checksum/512              12.6 ns         12.6 ns     55428685 bytes_per_second=37.7467Gi/s
BM_Checksum/1024             24.2 ns         24.2 ns     28978793 bytes_per_second=39.4675Gi/s
BM_TcpHeaderBuild/64         27.0 ns         27.0 ns     25885217
BM_TcpHeaderBuild/128        29.7 ns         29.7 ns     23563345
BM_TcpHeaderBuild/256        32.3 ns         32.3 ns     21647178
BM_TcpHeaderBuild/512        39.0 ns         39.0 ns     17928392
BM_TcpHeaderBuild/1024       51.2 ns         51.2 ns     13683388
BM_TcpHeaderParse/64        0.940 ns        0.940 ns    744889143
BM_TcpHeaderParse/128       0.940 ns        0.940 ns    744877602
BM_TcpHeaderParse/256       0.940 ns        0.940 ns    744814949
BM_TcpHeaderParse/512       0.940 ns        0.940 ns    744864143
BM_TcpHeaderParse/1024      0.940 ns        0.940 ns    744938370
