------------------------------------------------------------------------------------
Benchmark                          Time             CPU   Iterations UserCounters...
------------------------------------------------------------------------------------
BM_FixParseNewOrder              222 ns          222 ns      3110082 bytes_per_second=570.332Mi/s items_per_second=4.49652M/s
BM_FixParseMarketData            368 ns          368 ns      1900596 bytes_per_second=614.011Mi/s items_per_second=2.71661M/s
BM_FixParseFieldCount/0          223 ns          223 ns      3141204 bytes_per_second=569.161Mi/s items_per_second=4.48728M/s
BM_FixParseFieldCount/10         347 ns          347 ns      2014574 bytes_per_second=606.733Mi/s items_per_second=2.87876M/s
BM_FixParseFieldCount/50         919 ns          919 ns       762397 bytes_per_second=644.275Mi/s items_per_second=1.08788M/s
BM_FixParseFieldCount/100       1613 ns         1613 ns       434023 bytes_per_second=663.406Mi/s items_per_second=619.992k/s
BM_FixFieldLookup               20.7 ns         20.7 ns     33364321 items_per_second=48.2887M/s
BM_FixBuildNewOrder              165 ns          165 ns      4231917 items_per_second=6.04975M/s
BM_FixBuildWithTimestamp         149 ns          149 ns      4696586 items_per_second=6.70736M/s
BM_FixBuildMarketData            260 ns          260 ns      2688530 items_per_second=3.84034M/s
BM_FixBuildResetReuse           50.8 ns         50.8 ns     13774578 items_per_second=19.6814M/s
BM_FixFramerDecode              22.5 ns         22.5 ns     31078463 bytes_per_second=5.50105Gi/s items_per_second=44.4113M/s
BM_FixChecksum                  16.8 ns         16.8 ns     41761395 bytes_per_second=7.38989Gi/s
BM_FixBuildParseRoundtrip        225 ns          225 ns      3112180 items_per_second=4.44407M/s
