---------------------------------------------------------------------
Benchmark                           Time             CPU   Iterations
---------------------------------------------------------------------
BM_UdpHeaderFill/32              13.8 ns         13.8 ns     50727269
BM_UdpHeaderFill/64              13.6 ns         13.6 ns     51456372
BM_UdpHeaderFill/128             13.6 ns         13.6 ns     51342017
BM_UdpHeaderFill/512             15.4 ns         15.4 ns     45403688
BM_UdpHeaderFill/1472            26.7 ns         26.7 ns     26261050
BM_UdpChecksum/64                3.48 ns         3.48 ns    201422364 bytes_per_second=19.2931Gi/s
BM_UdpChecksum/128               5.22 ns         5.22 ns    133987540 bytes_per_second=24.2598Gi/s
BM_UdpChecksum/256               9.56 ns         9.56 ns     73252720 bytes_per_second=25.7276Gi/s
BM_UdpChecksum/512               22.0 ns         22.0 ns     31866706 bytes_per_second=22.0305Gi/s
BM_UdpChecksum/1024              57.6 ns         57.6 ns     12154047 bytes_per_second=16.6889Gi/s
BM_ParseIpHeader/32              1.11 ns         1.11 ns    632080561
BM_ParseIpHeader/64              1.11 ns         1.11 ns    631398571
BM_ParseIpHeader/128             1.11 ns         1.11 ns    634108154
BM_ParseIpHeader/512             1.11 ns         1.11 ns    632402834
BM_ParseIpHeader/1472            1.11 ns         1.11 ns    631570624
BM_ParseTcpFromIp/32             7.89 ns         7.89 ns     88680896
BM_ParseTcpFromIp/64             7.89 ns         7.89 ns     88678498
BM_ParseTcpFromIp/128            7.89 ns         7.89 ns     88739220
BM_ParseTcpFromIp/512            7.89 ns         7.89 ns     88760467
BM_ParseTcpFromIp/1472           7.89 ns         7.89 ns     88736071
BM_ParseUdpFromIp/32             6.47 ns         6.47 ns    109901906
BM_ParseUdpFromIp/64             6.41 ns         6.41 ns    109056354
BM_ParseUdpFromIp/128            6.52 ns         6.52 ns    110766564
BM_ParseUdpFromIp/512            6.52 ns         6.52 ns    106087689
BM_ParseUdpFromIp/1472           6.48 ns         6.48 ns    109328332
BM_ParsePacketLayered/32         8.11 ns         8.11 ns     86317005
BM_ParsePacketLayered/64         8.11 ns         8.11 ns     86326094
BM_ParsePacketLayered/128        8.11 ns         8.11 ns     86308388
BM_ParsePacketLayered/512        8.11 ns         8.11 ns     86325918
BM_ParsePacketLayered/1472       8.11 ns         8.11 ns     86286821
BM_ParsePacketDirect/32          8.11 ns         8.11 ns     86325039
BM_ParsePacketDirect/64          8.11 ns         8.11 ns     86342825
BM_ParsePacketDirect/128         8.11 ns         8.11 ns     86324274
BM_ParsePacketDirect/512         8.11 ns         8.11 ns     86327133
BM_ParsePacketDirect/1472        8.11 ns         8.11 ns     86328961
BM_ReactorUdpDispatchSim/1       3.98 ns         3.98 ns    175716615
BM_ReactorUdpDispatchSim/2       4.19 ns         4.19 ns    167204674
BM_ReactorUdpDispatchSim/4       4.67 ns         4.67 ns    149368952
BM_ReactorUdpDispatchSim/8       6.43 ns         6.43 ns    108402113
