# Reproduced: 2026-04-04 17:56
# Commit: 285ff55 (clean)
# Compiler: g++ (GCC) 15.2.1 20260209
# Build: xmake build -y -g bench (release mode)
# Bench: xmake run bench_transport_types
# Profile: release, -O3
# ---
2026-04-04T17:56:28+08:00
Running /home/sqfzy/work_space/work_code/cpp/ephemeral/build/linux/x86_64/release/bench_transport_types
Run on (12 X 2688 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 1280 KiB (x6)
  L3 Unified 24576 KiB (x1)
Load Average: 0.91, 0.65, 0.48
---------------------------------------------------------------------------------------------------
Benchmark                                         Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------
BM_BuildNonce                                 0.450 ns        0.450 ns   1435071247 items_per_second=2.22364G/s
BM_TwophaseFilter_16Frames_4Symbols             248 ns          248 ns      2823627 items_per_second=64.4928M/s
BM_TwophaseFilter_64Frames_16Symbols            340 ns          340 ns      2075846 items_per_second=188.248M/s
BM_TwophaseFilter_128Frames_32Symbols           448 ns          448 ns      1589825 items_per_second=285.698M/s
BM_TwophaseFilter_64Frames_AllUnique            361 ns          361 ns      1809742 items_per_second=177.251M/s
BM_TwophaseFilter_64Frames_SingleSymbol         311 ns          311 ns      2170369 items_per_second=205.793M/s
BM_FromUrl_Simple                              80.6 ns         80.6 ns      8428519 items_per_second=12.4105M/s
BM_FromUrl_WithPort                            86.8 ns         86.8 ns      8167513 items_per_second=11.5194M/s
BM_FromUrl_Ipv6                                75.1 ns         75.1 ns      9179748 items_per_second=13.3232M/s
BM_Validate_Valid                              12.0 ns         12.0 ns     58008067 items_per_second=83.0088M/s
BM_Validate_WithAllOptionalFields              17.1 ns         17.1 ns     41735752 items_per_second=58.6304M/s
BM_ConfigToJson                                 730 ns          730 ns       870387 items_per_second=1.37077M/s
BM_StatsToJson                                 4105 ns         4105 ns       172423 items_per_second=243.626k/s
BM_StatsDump                                   1991 ns         1991 ns       351604 items_per_second=502.311k/s
BM_ConfigToUrl                                  102 ns          102 ns      7012596 items_per_second=9.82221M/s
BM_ConfigDump                                   876 ns          876 ns       793374 items_per_second=1.14091M/s
BM_RttStatsToJson                               453 ns          453 ns      1532565 items_per_second=2.20849M/s
BM_Warnings_Clean                              1.73 ns         1.73 ns    419973251 items_per_second=577.026M/s
BM_Warnings_WithIssues                          124 ns          124 ns      5424344 items_per_second=8.03353M/s
BM_ConnectionInfoToJson                         220 ns          220 ns      3183869 items_per_second=4.55074M/s
BM_StatsDelta                                  16.3 ns         16.3 ns     42556553 items_per_second=61.4809M/s
BM_RttStatsDump                                 435 ns          435 ns      1708735 items_per_second=2.29954M/s
BM_Utf8Validate_AsciiOnly                       480 ns          480 ns      1463734 bytes_per_second=508.504Mi/s
BM_Utf8Validate_Mixed                          2203 ns         2203 ns       316948 bytes_per_second=484.927Mi/s
BM_Utf8Validate_Invalid                         265 ns          265 ns      2650489 bytes_per_second=919.561Mi/s
BM_OpcodeName_Known                           0.229 ns        0.229 ns   3135940751 items_per_second=4.37414G/s
BM_OpcodeName_Unknown                          2.98 ns         2.98 ns    240821240 items_per_second=336.022M/s
BM_EncodeFrame_Small                           3.67 ns         3.67 ns    190185730 bytes_per_second=16.2543Gi/s
BM_EncodeFrame_512                             15.0 ns         15.0 ns     48401776 bytes_per_second=31.7101Gi/s
BM_DecodeFrame_SmallUnmasked                   6.73 ns         6.73 ns    102530824 bytes_per_second=8.85331Gi/s
BM_DecodeFrame_MaskedPayload                   7.07 ns         7.07 ns     98352410 bytes_per_second=8.43293Gi/s
BM_DecodeFrame_CloseWithReason                 7.03 ns         7.03 ns     97539669 items_per_second=142.227M/s
BM_DecodeFrame_CloseStatusCodeExtraction      0.724 ns        0.724 ns    990892298 items_per_second=1.3819G/s
BM_MaskedCopy_64                              0.543 ns        0.543 ns   1288346720 bytes_per_second=109.704Gi/s
BM_MaskedCopy_512                              8.37 ns         8.37 ns     83125947 bytes_per_second=56.9664Gi/s
BM_ParseUpgradeResponse_Valid101                397 ns          397 ns      1707804 items_per_second=2.518M/s
BM_ParseUpgradeResponse_ManyHeaders             421 ns          421 ns      1727837 items_per_second=2.37623M/s
BM_ValidateWsAccept                             135 ns          135 ns      5128046 items_per_second=7.40257M/s
BM_BuildUpgradeRequest                         97.7 ns         97.7 ns      7159505 items_per_second=10.2384M/s
BM_TlsEncrypt_64B                            104407 ns       104403 ns         6758 bytes_per_second=584.612Mi/s items_per_second=9.57829M/s
BM_TlsEncrypt_512B                           216387 ns       216387 ns         3200 bytes_per_second=2.20363Gi/s items_per_second=4.62135M/s
BM_TlsEncryptDecrypt_64B                     218207 ns       218207 ns         3164 bytes_per_second=279.712Mi/s items_per_second=4.5828M/s
BM_TlsDecrypt_64B                            118265 ns       118266 ns         5801 bytes_per_second=516.085Mi/s items_per_second=8.45554M/s
BM_ParseRecordHeader                          0.225 ns        0.225 ns   3180335004 items_per_second=4.43718G/s
BM_BuildPongFrame                              2.39 ns         2.38 ns    292417391 items_per_second=419.291M/s
BM_BuildCloseFrame                             2.67 ns         2.67 ns    264850801 items_per_second=373.854M/s
BM_HkdfDeriveKeyIv                              454 ns          454 ns      1509770 items_per_second=2.20434M/s
